Water.Soil.Ratio,Sample.ID,Study,Sample.Number,DNA.Extr.MicropH.MoBio,Lab.CO2.MicropH,High.CO2.MicropH,Tube.Empty.g,Moist.Soil.g,Water.Added.mL,Tube.Dry.Soil.g,Dry.Soil.g,Soil.Water.Content.mass,Target.Water.Soil.ratio,Real.Water.Soil.ratio,Error.Water.Soil.ratio,Perc.Sand,Perc.Silt,Perc.Clay,Texture.Name,OM.perc,Scoop.Density.g.4.24.cc,Soil.pH,Sikora.pH,Total.N.perc,Total.Org.C.perc,Bray.1.P.ppm,K.ppm,K.perc.CEC,AmmAcet.Ca.ppm,Ca.perc.CEC,Mg.ppm,Mg.perc.CEC,Na.ppm,Na.perc.CEC,Est.Acidity.Hplus.meq.100g,Hplus.perc.CEC,CEC.summation.meq.100g,Date.of.Collection,Station.Name,St.pH.WSS,Site.Number,Upper.Depth.cm,Lower.Depth.cm
1-to-2,25-M2-38-55,Wisconsin,25,,5.49,5.67,1.063,1.038,0.519,1.961,0.898,0.135,0.5,0.578,-0.078,47.2,25.2,27.6,Sandy Clay Loam,0.8,4.8,5.2,6.7,0.1,0.06,10,90,2,1398,64,568,43,,0,3.7,34,10,9/7/2018,Marshfield,5.65,2,38,55
1-to-2,26-M3-0-15,Wisconsin,26,,6.12,6.34,1.07,1.013,0.507,1.722,0.652,0.356,0.5,0.777,-0.277,19.2,57.2,23.6,Silt Loam,3.6,3.87,5.5,6.7,0.22,2.2,35,147,4,1144,57,291,24,,0,4,39,11,9/7/2018,Marshfield,5.65,3,0,15
1-to-2,27-M3-15-30,Wisconsin,27,,5.52,5.67,1.059,1.09,0.545,1.968,0.909,0.166,0.5,0.6,-0.1,49.2,25.2,25.6,Sandy Clay Loam,0.8,4.77,5,6.6,0.08,0.26,18,59,1,1368,57,426,29,,0,4.9,41,11,9/7/2018,Marshfield,5.65,3,15,30
1-to-2,28-S-0-30,Wisconsin,28,,5.29,5.34,1.057,1.028,0.514,1.988,0.931,0.094,0.5,0.552,-0.052,75.2,17.2,7.6,Sandy Loam,1.3,5.93,4.7,6.6,0.08,0.88,45,62,3,249,21,46,6,,0,4.6,76,4,11/3/2017,Spooner,5.8,,0,30
1-to-2,29-S-30-60,Wisconsin,29,,5.65,5.6,1.054,1.014,0.507,2.02,0.966,0.047,0.5,0.525,-0.025,81.2,7.2,11.6,Sandy Loam,0.6,6.08,5.5,7,0.08,0.16,25,120,10,500,85,93,26,,0,0.1,4,2,11/3/2017,Spooner,5.8,,30,60
1-to-2,30-H1-0-30,Wisconsin,30,,6.76,7.07,1.061,1.09,0.545,2.115,1.054,0.033,0.5,0.517,-0.017,87.2,7.2,5.6,Loamy Sand,1,6.25,7.3,7.5,0.12,0.89,106,58,5,612,95,159,41,,0,0,0,2,9/17/2018,Hancock,6.2,1,0,30
1-to-2,31-H1-30-40,Wisconsin,31,,6.73,7.22,1.007,1.054,0.527,2.001,0.994,0.057,0.5,0.53,-0.03,87.2,7.2,5.6,Loamy Sand,0.5,6.09,7.5,7.5,0.06,0.26,92,56,6,433,94,118,42,,0,0,0,2,9/17/2018,Hancock,6.2,1,30,40
1-to-2,32-H1-40-60,Wisconsin,32,,6.69,7.21,1.069,1.037,0.519,2.053,0.984,0.051,0.5,0.527,-0.027,85.2,7.2,7.6,Loamy Sand,0.4,6.1,7.4,7.5,0.06,0.1,73,53,8,323,92,101,47,,0,0,0,1,9/17/2018,Hancock,6.2,1,40,60
1-to-2,33-H2-0-30,Wisconsin,33,,6.68,7.06,1.06,1.02,0.51,2.025,0.965,0.054,0.5,0.528,-0.028,87.2,7.2,5.6,Loamy Sand,0.8,5.91,7.2,7.5,0.05,0.38,74,50,5,498,95,128,40,,0,0,0,2,9/17/2018,Hancock,6.2,2,0,30
1-to-2,34-H2-30-60,Wisconsin,34,,7.03,7,1.06,1.042,0.521,2.053,0.993,0.047,0.5,0.525,-0.025,87.2,5.2,7.6,Loamy Sand,0.4,6.04,7.2,7.5,0.03,0.1,85,40,7,280,93,96,52,,0,0,0,1,9/17/2018,Hancock,6.2,2,30,60
