,sensor [K-33 ICB],,
,CO2,,,
08/13/19 17:47:04.829,"22450",,
08/13/19 17:47:34.827,"22410",,
08/13/19 17:48:04.827,"22430",,
08/13/19 17:48:34.827,"22420",,
08/13/19 17:49:04.827,"22450",,
08/13/19 17:49:34.828,"22450",,
08/13/19 17:50:04.828,"22470",,
08/13/19 17:50:04.828,"22470",,
08/13/19 17:50:34.827,"22480",,
08/13/19 17:51:04.827,"22490",,
08/13/19 17:51:34.827,"22490",,
08/13/19 17:52:04.827,"22510",,
08/13/19 17:52:34.833,"22490",,
08/13/19 17:53:04.829,"22510",,
08/13/19 17:53:34.827,"22490",,
08/13/19 17:54:04.827,"22450",,
08/13/19 17:54:34.827,"22430",,
08/13/19 17:55:04.827,"22400",,
08/13/19 17:55:34.827,"22430",,
08/13/19 17:56:04.827,"22430",,
08/13/19 17:56:34.827,"22430",,
08/13/19 17:57:04.827,"22450",,
08/13/19 17:57:34.827,"22420",,
08/13/19 17:58:04.827,"22430",,
08/13/19 17:58:34.827,"22500",,
08/13/19 17:59:04.827,"22500",,
08/13/19 17:59:34.827,"22490",,
08/13/19 18:00:04.827,"22460",,
08/13/19 18:00:34.827,"22450",,
08/13/19 18:01:04.827,"22450",,
08/13/19 18:01:34.828,"22480",,
08/13/19 18:02:04.828,"22450",,
08/13/19 18:02:34.827,"22450",,
08/13/19 18:03:04.827,"22450",,
08/13/19 18:03:34.827,"22500",,
08/13/19 18:04:04.827,"22450",,
08/13/19 18:04:34.828,"22430",,
08/13/19 18:05:04.827,"22450",,
08/13/19 18:05:34.827,"22450",,
08/13/19 18:06:04.827,"22470",,
08/13/19 18:06:34.827,"22420",,
08/13/19 18:07:04.827,"22500",,
08/13/19 18:07:34.831,"22430",,
08/13/19 18:08:04.827,"22470",,
08/13/19 18:08:34.827,"22470",,
08/13/19 18:09:04.827,"22480",,
08/13/19 18:09:34.827,"22450",,
08/13/19 18:10:04.827,"22430",,
08/13/19 18:10:34.827,"22470",,
08/13/19 18:11:04.827,"22510",,
08/13/19 18:11:34.827,"22510",,
08/13/19 18:12:04.827,"22530",,
08/13/19 18:12:34.827,"22510",,
08/13/19 18:13:04.834,"22490",,
08/13/19 18:13:34.833,"22510",,
08/13/19 18:14:04.827,"22510",,
08/13/19 18:14:34.827,"22510",,
08/13/19 18:15:04.827,"22500",,
08/13/19 18:15:34.827,"22490",,
08/13/19 18:15:34.827,"22490",,
08/13/19 18:16:04.827,"22430",,
08/13/19 18:16:34.827,"22460",,
08/13/19 18:17:04.827,"22480",,
08/13/19 18:17:34.827,"22450",,
08/13/19 18:18:04.827,"22480",,
08/13/19 18:18:34.828,"22480",,
08/13/19 18:19:04.828,"22510",,
08/13/19 18:19:34.827,"22530",,
08/13/19 18:20:04.827,"22510",,
08/13/19 18:20:34.827,"22500",,
08/13/19 18:21:04.827,"22510",,
08/13/19 18:21:34.830,"22530",,
08/13/19 18:22:04.831,"22530",,
08/13/19 18:22:34.827,"22510",,
08/13/19 18:23:04.827,"22470",,
08/13/19 18:23:34.827,"22430",,
08/13/19 18:24:04.827,"22470",,
08/13/19 18:24:34.827,"22490",,
08/13/19 18:25:04.827,"22490",,
08/13/19 18:25:34.827,"22510",,
08/13/19 18:26:04.827,"22530",,
08/13/19 18:26:34.827,"22510",,
08/13/19 18:27:04.827,"22510",,
08/13/19 18:27:34.833,"22460",,
08/13/19 18:28:04.829,"22450",,
08/13/19 18:28:34.827,"22480",,
08/13/19 18:29:04.827,"22470",,
08/13/19 18:29:34.827,"22470",,
08/13/19 18:30:04.827,"22450",,
08/13/19 18:30:34.827,"22450",,
08/13/19 18:31:04.827,"22470",,
08/13/19 18:31:34.827,"22470",,
08/13/19 18:32:04.827,"22480",,
08/13/19 18:32:34.827,"22470",,
08/13/19 18:33:04.827,"22450",,
08/13/19 18:33:34.827,"22450",,
08/13/19 18:34:04.827,"22460",,
08/13/19 18:34:34.827,"22460",,
08/13/19 18:35:04.827,"22470",,
08/13/19 18:35:34.827,"22510",,
08/13/19 18:36:04.827,"22450",,
08/13/19 18:36:34.829,"22450",,
08/13/19 18:37:04.828,"22470",,
08/13/19 18:37:34.827,"22500",,
08/13/19 18:38:04.827,"22520",,
08/13/19 18:38:34.827,"22430",,
08/13/19 18:39:04.827,"22500",,
08/13/19 18:39:34.827,"22490",,
08/13/19 18:40:04.827,"22500",,
08/13/19 18:40:34.827,"22500",,
08/13/19 18:41:04.827,"22500",,
08/13/19 18:41:04.827,"22500",,
08/13/19 18:41:34.827,"22450",,
08/13/19 18:42:04.831,"22360",,
08/13/19 18:42:34.830,"22530",,
08/13/19 18:43:04.827,"22530",,
08/13/19 18:43:34.827,"22610",,
08/13/19 18:44:04.827,"22560",,
08/13/19 18:44:34.827,"22560",,
08/13/19 18:45:04.829,"22540",,
08/13/19 18:45:34.827,"22510",,
08/13/19 18:46:04.827,"22500",,
08/13/19 18:46:34.827,"22540",,
08/13/19 18:47:04.827,"22530",,
08/13/19 18:47:34.827,"22540",,
08/13/19 18:48:04.834,"22500",,
08/13/19 18:48:34.829,"22510",,
08/13/19 18:49:04.827,"22480",,
08/13/19 18:49:34.827,"22450",,
08/13/19 18:50:04.827,"22400",,
08/13/19 18:50:34.827,"22420",,
08/13/19 18:51:04.827,"22450",,
08/13/19 18:51:34.827,"22410",,
08/13/19 18:52:04.827,"22420",,
08/13/19 18:52:34.827,"22430",,
08/13/19 18:53:04.827,"22410",,
08/13/19 18:53:34.827,"22450",,
08/13/19 18:54:04.828,"22460",,
08/13/19 18:54:34.827,"22460",,
08/13/19 18:55:04.827,"22460",,
08/13/19 18:55:34.827,"22470",,
08/13/19 18:56:04.827,"22470",,
08/13/19 18:56:34.827,"22480",,
08/13/19 18:57:04.829,"22470",,
08/13/19 18:57:34.828,"22470",,
08/13/19 18:58:04.827,"22480",,
08/13/19 18:58:34.827,"22500",,
08/13/19 18:59:04.827,"22480",,
08/13/19 18:59:34.827,"22400",,
08/13/19 19:00:04.829,"22450",,
08/13/19 19:00:34.827,"22450",,
08/13/19 19:01:04.827,"22580",,
08/13/19 19:01:34.827,"22560",,
08/13/19 19:02:04.827,"22520",,
08/13/19 19:02:34.827,"22520",,
08/13/19 19:03:04.833,"22530",,
08/13/19 19:03:34.827,"22580",,
08/13/19 19:04:04.827,"22580",,
08/13/19 19:04:34.827,"22580",,
08/13/19 19:05:04.827,"22550",,
08/13/19 19:05:34.827,"22560",,
08/13/19 19:06:04.827,"22560",,
08/13/19 19:06:34.827,"22540",,
08/13/19 19:06:34.827,"22540",,
08/13/19 19:07:04.827,"22540",,
08/13/19 19:07:34.827,"22520",,
08/13/19 19:08:04.827,"22490",,
08/13/19 19:08:34.827,"22490",,
08/13/19 19:09:04.833,"22520",,
08/13/19 19:09:34.827,"22540",,
08/13/19 19:10:04.827,"22550",,
08/13/19 19:10:34.827,"22580",,
08/13/19 19:11:04.827,"22500",,
08/13/19 19:11:34.827,"22490",,
08/13/19 19:12:04.827,"22460",,
08/13/19 19:12:34.827,"22510",,
08/13/19 19:13:04.827,"22520",,
08/13/19 19:13:34.827,"22500",,
08/13/19 19:14:04.827,"22490",,
08/13/19 19:14:34.827,"22500",,
08/13/19 19:15:04.827,"22550",,
08/13/19 19:15:34.827,"22550",,
08/13/19 19:16:04.827,"22550",,
08/13/19 19:16:34.827,"22560",,
08/13/19 19:17:04.827,"22560",,
08/13/19 19:17:34.827,"22580",,
08/13/19 19:18:04.830,"22580",,
08/13/19 19:18:34.827,"22540",,
08/13/19 19:19:04.827,"22530",,
08/13/19 19:19:34.827,"22550",,
08/13/19 19:20:04.827,"22540",,
08/13/19 19:20:34.829,"22480",,
08/13/19 19:21:04.827,"22560",,
08/13/19 19:21:34.827,"22510",,
08/13/19 19:22:04.827,"22400",,
08/13/19 19:22:34.827,"22410",,
08/13/19 19:23:04.827,"22410",,
08/13/19 19:23:34.833,"22400",,
08/13/19 19:24:04.831,"22450",,
08/13/19 19:24:34.827,"22490",,
08/13/19 19:25:04.827,"22500",,
08/13/19 19:25:34.827,"22490",,
08/13/19 19:26:04.827,"22510",,
08/13/19 19:26:34.827,"22540",,
08/13/19 19:27:04.827,"22500",,
08/13/19 19:27:34.827,"22520",,
08/13/19 19:28:04.827,"22560",,
08/13/19 19:28:34.827,"22550",,
08/13/19 19:29:04.827,"22520",,
08/13/19 19:29:34.833,"22520",,
08/13/19 19:30:04.827,"22490",,
08/13/19 19:30:34.827,"22530",,
08/13/19 19:31:04.827,"22490",,
08/13/19 19:31:34.827,"22490",,
08/13/19 19:32:04.828,"22510",,
08/13/19 19:32:04.828,"22510",,
08/13/19 19:32:34.827,"22500",,
08/13/19 19:33:04.827,"22540",,
08/13/19 19:33:34.827,"22540",,
08/13/19 19:34:04.827,"22560",,
08/13/19 19:34:34.827,"22560",,
08/13/19 19:35:04.827,"22580",,
08/13/19 19:35:34.827,"22520",,
08/13/19 19:36:04.827,"22480",,
08/13/19 19:36:34.827,"22410",,
08/13/19 19:37:04.827,"22440",,
08/13/19 19:37:34.827,"22460",,
08/13/19 19:38:04.831,"22510",,
08/13/19 19:38:34.829,"22390",,
08/13/19 19:39:04.827,"22520",,
08/13/19 19:39:34.827,"22490",,
08/13/19 19:40:04.827,"22460",,
08/13/19 19:40:34.827,"22450",,
08/13/19 19:41:04.827,"22470",,
08/13/19 19:41:34.827,"22530",,
08/13/19 19:42:04.827,"22520",,
08/13/19 19:42:34.827,"22520",,
08/13/19 19:43:04.827,"22500",,
08/13/19 19:43:34.827,"22540",,
08/13/19 19:44:04.832,"22500",,
08/13/19 19:44:34.832,"22540",,
08/13/19 19:45:04.827,"22560",,
08/13/19 19:45:34.828,"22590",,
08/13/19 19:46:04.827,"22560",,
08/13/19 19:46:34.827,"22530",,
08/13/19 19:47:04.827,"22550",,
08/13/19 19:47:34.827,"22530",,
08/13/19 19:48:04.827,"22490",,
08/13/19 19:48:34.827,"22550",,
08/13/19 19:49:04.827,"22630",,
08/13/19 19:49:34.827,"22540",,
08/13/19 19:50:04.828,"22520",,
08/13/19 19:50:34.827,"22470",,
08/13/19 19:51:04.827,"22520",,
08/13/19 19:51:34.827,"22480",,
08/13/19 19:52:04.827,"22520",,
08/13/19 19:52:34.827,"22520",,
08/13/19 19:53:04.827,"22530",,
08/13/19 19:53:34.827,"22490",,
08/13/19 19:54:04.827,"22530",,
08/13/19 19:54:34.827,"22530",,
08/13/19 19:55:04.827,"22490",,
08/13/19 19:55:34.828,"22450",,
08/13/19 19:56:04.828,"22450",,
08/13/19 19:56:34.827,"22470",,
08/13/19 19:57:04.827,"22500",,
08/13/19 19:57:34.827,"22550",,
08/13/19 19:57:34.827,"22550",,
08/13/19 19:58:04.827,"22550",,
08/13/19 19:58:34.832,"22560",,
08/13/19 19:59:04.829,"22560",,
08/13/19 19:59:34.827,"22530",,
08/13/19 20:00:04.827,"22520",,
08/13/19 20:00:34.827,"22510",,
08/13/19 20:01:04.827,"22540",,
08/13/19 20:01:34.828,"22510",,
08/13/19 20:02:04.827,"22550",,
08/13/19 20:02:34.827,"22550",,
08/13/19 20:03:04.827,"22540",,
08/13/19 20:03:34.827,"22510",,
08/13/19 20:04:04.827,"22510",,
08/13/19 20:04:34.833,"22500",,
08/13/19 20:05:04.827,"22530",,
08/13/19 20:05:34.827,"22590",,
08/13/19 20:06:04.827,"22560",,
08/13/19 20:06:34.827,"22550",,
08/13/19 20:07:04.827,"22560",,
08/13/19 20:07:34.827,"22560",,
