Water.Soil.Ratio,Sample.ID,Sample.Num,Random.Num.1.to.65,Study,Sample.Number,DNA.Extr.pH.After.C1,DNA.Extr.pH.After.C2,Lab.CO2.pH.one2one,Lab.CO2.pH.one2two,Lab.CO2.pH.one2three,Lab.CO2.pH.one2four,High.CO2.pH.one2one,High.CO2.pH.one2two,High.CO2.pH.one2three,High.CO2.pH.one2four,Perc.Sand,Perc.Silt,Perc.Clay,Texture.Name,OM.perc,Scoop.Density.g.4.24.cc,Soil.pH,Sikora.pH,Total.N.perc,Total.Org.C.perc,Bray.1.P.ppm,K.ppm,K.perc.CEC,Ca.ppm,Ca.perc.CEC,Mg.ppm,Mg.perc.CEC,Na.ppm,Na.perc.CEC,Est.Ac.Hplus,Hplus.perc.CEC,CEC.sum,Date.of.Collection,Station.Name,St.pH.WSS,Site.Number,Upper.Depth.cm,Lower.Depth.cm
1-to-1,059-P1-45-55,59,34.0228304780855,Wisconsin,59,9.341,8.022,6.56,6.84,6.44,6.74,6.33,7.2,6.9,6.84,70,17.6,12.4,Sandy Loam,0.5,5.64,7,7.4,0.07,0.17,19,54,5,554,95,165,46,,0,0,0,2,9/10/2018,Peninsular,7.2,1,45,55
1-to-1,060-P2-0-20,60,48.7765174046486,Wisconsin,60,9.08,7.919,6.83,7.31,7.13,7.44,6.89,7.57,7.33,7.44,52.8,28.8,18.4,Sandy Loam,2.8,4.75,7.5,7.5,0.18,2.47,12,75,3,1411,97,334,38,,0,0,0,6,9/10/2018,Peninsular,7.2,2,0,20
1-to-1,061-P2-20-45,61,52.4643219947872,Wisconsin,61,9.169,7.919,7.11,7.43,7.2,7.4,6.96,7.27,7.4,7.48,54.8,24.8,20.4,Sandy Clay Loam,1.2,5.11,7.6,7.5,0.11,3.31,14,45,2,1176,98,308,42,,0,0,0,5,9/10/2018,Peninsular,7.2,2,20,45
1-to-1,062-P2-45-55,62,14.1811120601929,Wisconsin,62,9.32,8.005,6.84,7.47,7.01,7.15,6.76,7.32,7.4,7.28,60.8,26.8,12.4,Sandy Loam,0.5,5.53,7.7,7.6,0.09,5.53,10,35,2,743,98,225,48,,0,0,0,3,9/10/2018,Peninsular,7.2,2,45,55
1-to-1,063-P4-0-25,63,59.2787642725101,Wisconsin,63,9.027,7.862,7.35,7.6,7.23,7.22,7.29,7.45,7.52,7.31,50.8,32.8,16.4,Loam,3.1,4.49,7.4,7.4,0.21,2.2,12,53,2,1433,98,359,40,,0,0,0,7,9/10/2018,Peninsular,7.2,4,0,25
1-to-1,064-P4-25-35,64,9.4986281692363,Wisconsin,64,9.071,7.88,6.83,7.65,7.24,7.22,6.79,7.56,7.5,7.38,50.8,28.8,20.4,Loam,1.9,4.63,7.5,7.4,0.12,1.56,12,45,2,1378,98,360,42,,0,0,0,6,9/10/2018,Peninsular,7.2,4,25,35
1-to-1,065-P4-35-50,65,30.2804199316291,Wisconsin,65,9.24,7.983,6.98,7.37,7.44,7.32,6.81,7.35,7.4,7.46,52.8,32.8,14.4,Sandy Loam,0.9,4.86,7.7,7.5,0.09,4.21,22,39,2,881,98,253,46,,0,0,0,4,9/10/2018,Peninsular,7.2,4,35,50
1-to-1,181-Sp11-Cr31-0-20,181,45.8768492476245,Spooner,181,9.08,7.916,6.8,6.46,6.38,6.4,6.31,6.73,7.1,6.74,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,182-Sp11-Cr32-0-16,182,14.8985488375439,Spooner,182,9.116,7.937,6.55,7.54,7.14,7.33,6.4,7.33,7.5,6.83,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,183-Sp11-Cr33-0-20,183,46.9540883073788,Spooner,183,9.133,7.96,6.76,6.55,6.01,6.25,6.85,6.45,6.58,6.4,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
