location,date,time.real,time.second,time.minute,CO2.ppm
laboratory,2019-08-20,9:53:05.557,3360,,370
laboratory,2019-08-20,9:53:35.557,3390,,390
laboratory,2019-08-20,9:54:05.557,3420,,370
laboratory,2019-08-20,9:54:35.557,3450,,380
laboratory,2019-08-20,9:55:05.557,3480,,390
laboratory,2019-08-20,9:55:35.557,3510,,350
laboratory,2019-08-20,9:56:05.557,3540,,390
laboratory,2019-08-20,9:56:35.557,3570,,400
laboratory,2019-08-20,9:57:05.557,3600,,410
laboratory,2019-08-20,9:57:35.558,3630,,380
laboratory,2019-08-20,9:58:05.557,3660,,390
laboratory,2019-08-20,9:58:35.557,3690,,400
laboratory,2019-08-20,9:59:05.557,3720,,370
laboratory,2019-08-20,9:59:35.557,3750,,380
laboratory,2019-08-20,10:00:05.557,3780,,370
laboratory,2019-08-20,10:00:35.557,3810,,350
laboratory,2019-08-20,10:01:05.557,3840,,360
laboratory,2019-08-20,10:01:35.557,3870,,350
laboratory,2019-08-20,10:02:05.559,3900,,340
laboratory,2019-08-20,10:02:35.557,3930,,350
laboratory,2019-08-20,10:03:05.557,3960,,350
laboratory,2019-08-20,10:03:35.560,3990,,360
laboratory,2019-08-20,10:04:05.557,4020,,380
laboratory,2019-08-20,10:04:35.561,4050,,380
laboratory,2019-08-20,10:05:05.557,4080,,380
laboratory,2019-08-20,10:05:35.557,4110,,380
laboratory,2019-08-20,10:06:05.557,4140,,370
laboratory,2019-08-20,10:06:35.557,4170,,370
laboratory,2019-08-20,10:07:05.557,4200,,360
laboratory,2019-08-20,10:07:35.557,4230,,350
laboratory,2019-08-20,10:08:05.557,4260,,360
laboratory,2019-08-20,10:08:35.558,4290,,350
laboratory,2019-08-20,10:09:05.557,4320,,370
laboratory,2019-08-20,10:09:35.566,4350,,380
laboratory,2019-08-20,10:10:05.557,4380,,390
laboratory,2019-08-20,10:10:35.557,4410,,420
laboratory,2019-08-20,10:11:05.557,4440,,430
laboratory,2019-08-20,10:11:35.557,4470,,420
laboratory,2019-08-20,10:12:05.557,4500,,410
laboratory,2019-08-20,10:12:35.557,4530,,410
laboratory,2019-08-20,10:13:05.557,4560,,390
laboratory,2019-08-20,10:13:35.557,4590,,390
laboratory,2019-08-20,10:13:35.557,4620,,390
laboratory,2019-08-20,10:14:05.557,4650,,380
laboratory,2019-08-20,10:14:35.557,4680,,410
laboratory,2019-08-20,10:15:05.557,4710,,390
laboratory,2019-08-20,10:15:35.557,4740,,380
laboratory,2019-08-20,10:16:05.557,4770,,410
laboratory,2019-08-20,10:16:35.557,4800,,390
laboratory,2019-08-20,10:17:05.557,4830,,370
laboratory,2019-08-20,10:17:35.557,4860,,360
laboratory,2019-08-20,10:18:05.557,4890,,370
laboratory,2019-08-20,10:18:35.557,4920,,380
laboratory,2019-08-20,10:19:05.557,4950,,370
laboratory,2019-08-20,10:19:35.559,4980,,370
laboratory,2019-08-20,10:20:05.557,5010,,370
laboratory,2019-08-20,10:20:35.557,5040,,370
laboratory,2019-08-20,10:21:05.557,5070,,350
laboratory,2019-08-20,10:21:35.557,5100,,350
laboratory,2019-08-20,10:22:05.557,5130,,370
laboratory,2019-08-20,10:22:35.557,5160,,350
laboratory,2019-08-20,10:23:05.558,5190,,370
laboratory,2019-08-20,10:23:35.557,5220,,370
laboratory,2019-08-20,10:24:05.557,5250,,350
laboratory,2019-08-20,10:24:35.557,5280,,360
laboratory,2019-08-20,10:25:05.557,5310,,350
laboratory,2019-08-20,10:25:35.557,5340,,350
laboratory,2019-08-20,10:26:05.557,5370,,370
laboratory,2019-08-20,10:26:35.557,5400,,350
laboratory,2019-08-20,10:27:05.557,5430,,360
laboratory,2019-08-20,10:27:35.557,5460,,350
laboratory,2019-08-20,10:28:05.557,5490,,370
laboratory,2019-08-20,10:28:35.557,5520,,380
laboratory,2019-08-20,10:29:05.557,5550,,380
laboratory,2019-08-20,10:29:35.558,5580,,400
laboratory,2019-08-20,10:30:05.557,5610,,380
laboratory,2019-08-20,10:30:35.557,5640,,370
laboratory,2019-08-20,10:31:05.557,5670,,370
laboratory,2019-08-20,10:31:35.557,5700,,370
laboratory,2019-08-20,10:32:05.557,5730,,380
laboratory,2019-08-20,10:32:35.558,5760,,380
laboratory,2019-08-20,10:33:05.557,5790,,350
laboratory,2019-08-20,10:33:35.558,5820,,360
laboratory,2019-08-20,10:34:05.557,5850,,350
laboratory,2019-08-20,10:34:35.558,5880,,370
laboratory,2019-08-20,10:35:05.557,5910,,370
laboratory,2019-08-20,10:35:35.557,5940,,380
laboratory,2019-08-20,10:36:05.557,5970,,400
laboratory,2019-08-20,10:36:35.557,6000,,390
laboratory,2019-08-20,10:37:05.557,6030,,380
laboratory,2019-08-20,10:37:35.557,6060,,370
laboratory,2019-08-20,10:38:05.557,6090,,380
laboratory,2019-08-20,10:38:35.557,6120,,360
laboratory,2019-08-20,10:39:05.557,6150,,350
laboratory,2019-08-20,10:39:05.557,6180,,350
laboratory,2019-08-20,10:39:35.557,6210,,350
laboratory,2019-08-20,10:40:05.557,6240,,360
laboratory,2019-08-20,10:40:35.558,6270,,360
laboratory,2019-08-20,10:41:05.557,6300,,360
laboratory,2019-08-20,10:41:35.557,6330,,370
laboratory,2019-08-20,10:42:05.557,6360,,380
laboratory,2019-08-20,10:42:35.557,6390,,370
laboratory,2019-08-20,10:43:05.558,6420,,380
laboratory,2019-08-20,10:43:35.557,6450,,370
laboratory,2019-08-20,10:44:05.557,6480,,380
laboratory,2019-08-20,10:44:35.557,6510,,370
laboratory,2019-08-20,10:45:05.557,6540,,360
laboratory,2019-08-20,10:45:35.557,6570,,360
laboratory,2019-08-20,10:46:05.557,6600,,360
laboratory,2019-08-20,10:46:35.560,6630,,370
laboratory,2019-08-20,10:47:05.557,6660,,370
laboratory,2019-08-20,10:47:35.557,6690,,340
laboratory,2019-08-20,10:48:05.557,6720,,330
laboratory,2019-08-20,10:48:35.557,6750,,340
laboratory,2019-08-20,10:49:05.557,6780,,350
laboratory,2019-08-20,10:49:35.557,6810,,360
laboratory,2019-08-20,10:50:05.557,6840,,340
laboratory,2019-08-20,10:50:35.557,6870,,330
